,playerID,yearID,stint,Glf,Gcf,Grf
6870,cuetoma01,1917,1.0,33.0,5.0,4.0
6871,daussho01,1917,1.0,1.0,2.0,1.0
6872,demmira01,1917,1.0,1.0,1.0,15.0
6873,dugeyos01,1917,1.0,2.0,3.0,1.0
6874,felscha01,1917,1.0,1.0,152.0,1.0
6875,fittepa01,1917,1.0,1.0,3.0,1.0
6876,fitzped01,1917,1.0,5.0,7.0,8.0
6877,flackma01,1917,1.0,41.0,7.0,78.0
6878,flagsir01,1917,1.0,1.0,1.0,3.0
6879,flinndo01,1917,1.0,8.0,2.0,5.0
6880,frencpa01,1917,1.0,1.0,1.0,2.0
6881,gharrpa01,1917,1.0,1.0,1.0,2.0
6882,gilhofr01,1917,1.0,1.0,1.0,47.0
6883,gonzami01,1917,1.0,1.0,1.0,2.0
6884,goochle01,1917,1.0,1.0,1.0,17.0
6885,graneja01,1917,1.0,145.0,1.0,1.0
6886,griffto01,1917,1.0,1.0,1.0,100.0
6887,harpege02,1917,1.0,1.0,4.0,29.0
6888,harrijo03,1917,1.0,1.0,1.0,6.0
6889,heilmha01,1917,1.0,1.0,29.0,95.0
6890,hendrcl01,1917,1.0,2.0,1.0,2.0
6891,hendrti01,1917,1.0,1.0,31.0,78.0
6892,hickmji01,1917,1.0,27.0,72.0,4.0
6893,highhu01,1917,1.0,99.0,2.0,1.0
6894,hinchbi01,1917,1.0,42.0,9.0,1.0
6895,hoopeha01,1917,1.0,1.0,1.0,151.0
6896,howariv01,1917,1.0,1.0,5.0,1.0
6897,jacksch02,1917,1.0,21.0,2.0,16.0
6898,jacksjo01,1917,1.0,134.0,1.0,12.0
6899,jacobba01,1917,1.0,1.0,55.0,78.0
6900,jamiech01,1917,1.0,10.0,1.0,1.0
6901,jamiech01,1917,26.0,1.0,1.0,83.0
6902,johnsbi02,1917,1.0,3.0,2.0,28.0
6903,johnsji01,1917,1.0,38.0,25.0,6.0
6904,kauffbe01,1917,1.0,4.0,150.0,1.0
6905,kavanma01,1917,1.0,1.0,3.0,1.0
6906,kellyge01,1917,1.0,4.0,1.0,2.0
6907,kellyjo03,1917,1.0,82.0,30.0,1.0
6908,killebi01,1917,1.0,2.0,1.0,1.0
6909,kingle02,1917,1.0,8.0,1.0,95.0
6910,lamarbi01,1917,1.0,11.0,2.0,1.0
6911,lawryot01,1917,1.0,2.0,1.0,1.0
6912,leibone01,1917,1.0,17.0,5.0,102.0
6913,leonajo01,1917,1.0,1.0,1.0,2.0
6914,lewisdu01,1917,1.0,150.0,1.0,1.0
6915,longto01,1917,1.0,31.0,1.0,104.0
6916,mageele01,1917,1.0,3.0,49.0,1.0
6917,mageele01,1917,26.0,1.0,1.0,2.0
6918,mageesh01,1917,1.0,64.0,1.0,3.0
6919,mageesh01,1917,26.0,30.0,1.0,13.0
6920,mannle01,1917,1.0,106.0,12.0,3.0
6921,marriwi01,1917,1.0,2.0,1.0,1.0
6922,marsaar01,1917,1.0,1.0,68.0,1.0
6923,marsaar01,1917,26.0,1.0,26.0,1.0
6924,mcgafpa01,1917,1.0,1.0,1.0,2.0
6925,menosmi01,1917,1.0,93.0,1.0,2.0
6926,merklfr01,1917,26.0,6.0,2.0,1.0
6927,milancl01,1917,1.0,1.0,153.0,1.0
6928,milanho01,1917,1.0,24.0,1.0,1.0
6929,milleel01,1917,1.0,34.0,54.0,27.0
6930,millewa02,1917,1.0,13.0,5.0,10.0
6931,mitchcl01,1917,1.0,6.0,1.0,1.0
6932,mitchwi01,1917,1.0,1.0,2.0,1.0
6933,murphed02,1917,1.0,2.0,1.0,9.0
6934,murrare01,1917,1.0,5.0,5.0,4.0
6935,myershy01,1917,1.0,1.0,63.0,5.0
6936,nealegr01,1917,1.0,79.0,28.0,14.0
6937,nichofr02,1917,1.0,2.0,1.0,3.0
6938,paskedo01,1917,1.0,1.0,138.0,1.0
6939,pfeffje01,1917,1.0,1.0,1.0,2.0
6940,pitleja01,1917,1.0,2.0,1.0,2.0
6941,powelra01,1917,1.0,1.0,88.0,1.0
6942,rawlijo01,1917,1.0,2.0,1.0,1.0
6943,rehgwa01,1917,1.0,1.0,1.0,86.0
6944,ricesa01,1917,1.0,1.0,1.0,155.0
6945,ricoar01,1917,1.0,2.0,1.0,1.0
6946,roberda01,1917,1.0,1.0,2.0,140.0
6947,rothbr01,1917,1.0,1.0,1.0,135.0
6948,roushed01,1917,1.0,1.0,134.0,1.0
6949,rumlewi01,1917,1.0,4.0,1.0,7.0
6950,russere01,1917,1.0,2.0,1.0,1.0
6951,schanwa01,1917,1.0,3.0,1.0,5.0
